ID,perc_cor,bin_cor
718211,1,1
718213,1,1
718216,1,1
718217,0.035307517,0
718220,0.522673031,1
718221,1,1
718315,1,1
718318,0.050819672,0
718320,0,0
718321,1,1
718322,0.978229318,1
718323,1,1
718518,1,1
719211,0.860898138,1
719215,0.968045113,1
719222,0.041289023,0
719224,1,1
719225,0.261160714,0
719226,1,1
719231,0,0
719232,0.141552511,0
719238,1,1
719241,1,1
719245,1,1
719247,0.834101382,1
719311,0.083694084,0
719312,0.665222102,1
719315,0.950684932,1
719316,1,1
719318,0.024590164,0
719319,0.62033462,1
719322,0.588,1
719326,0.942136499,1
719327,0.972891566,1
719329,0.930201342,1
719330,1,1
719331,1,1
719332,0.818527919,1
719334,1,1
719335,1,1
719337,0,0
719339,0.785817656,1
719341,1,1
719345,1,1
719348,0.275520317,0
719349,0.62484472,1
719350,1,1
719351,1,1
719354,0.857142857,1
719355,1,1
719356,0.924874791,1
719358,0,0
719360,1,1
719362,1,1
719364,1,1
719369,0.703851262,1
719370,1,1
719371,0,0
719511,0.039404553,0
719515,0.595358224,1
719518,0.917857143,1
719522,0.955367913,1
719523,1,1
719524,0.944320713,1
719525,0.043141593,0
719526,0,0
719527,0,0
719528,0.749388753,1
719530,1,1
719531,0.036569987,0
719535,0.370927318,0
719536,1,1
720219,1,1
720220,0.872747748,1
720311,1,1
720312,0,0
720314,1,1
720316,0.959090909,1
720317,1,1
720318,0.946949602,1
720319,0.61752988,1
720320,0,0
720511,1,1
720515,0.313704497,0
720516,1,1
720517,0,0
